method,episode,finished_filters,total_reward,invalid_actions,breakdowns,average_wip,demand_satisfaction
Greedy Multi-Agent,42,69,860.4000000000005,51,13,13.96,1.0
Greedy Multi-Agent,43,56,714.9999999999998,55,11,6.93,1.0
Greedy Multi-Agent,44,85,1347.9999999999989,25,7,14.77,1.0
Greedy Multi-Agent,45,76,607.8000000000009,33,9,23.66,1.0
Greedy Multi-Agent,46,50,-241.00000000000014,67,8,26.77,1.0
Greedy Multi-Agent,47,70,821.2999999999997,35,6,17.32,1.0
Greedy Multi-Agent,48,69,404.29999999999995,73,12,20.78,1.0
Greedy Multi-Agent,49,60,323.4,45,8,21.3,1.0
Greedy Multi-Agent,50,82,1685.5000000000023,24,7,4.88,1.0
Greedy Multi-Agent,51,71,1334.3000000000006,35,7,5.02,1.0
Greedy Multi-Agent,52,82,1699.4000000000024,18,4,5.02,1.0
Greedy Multi-Agent,53,83,1687.5000000000027,22,9,5.82,1.0
Greedy Multi-Agent,54,77,1354.2000000000005,35,7,8.24,1.0
Greedy Multi-Agent,55,78,1264.2999999999995,29,7,12.05,1.0
Greedy Multi-Agent,56,67,386.79999999999995,48,10,22.07,1.0
Greedy Multi-Agent,57,75,1033.2000000000014,31,4,15.76,1.0
Greedy Multi-Agent,58,82,1300.499999999999,26,11,13.97,1.0
Greedy Multi-Agent,59,89,1701.6000000000022,15,4,9.89,1.0
Greedy Multi-Agent,60,87,1617.6999999999998,25,7,9.54,1.0
Greedy Multi-Agent,61,65,1016.0999999999992,43,10,8.33,1.0
Greedy Multi-Agent,62,74,1431.5000000000014,30,8,5.35,1.0
Greedy Multi-Agent,63,66,-144.29999999999995,58,11,35.6,1.0
Greedy Multi-Agent,64,83,1589.0000000000025,23,7,8.07,1.0
Greedy Multi-Agent,65,55,-136.60000000000005,67,14,26.57,1.0
Greedy Multi-Agent,66,69,381.7999999999999,62,13,23.63,1.0
Greedy Multi-Agent,67,82,1372.600000000001,27,8,11.58,1.0
Greedy Multi-Agent,68,74,1342.9999999999982,41,11,5.93,1.0
Greedy Multi-Agent,69,81,1121.9000000000003,21,8,18.24,1.0
Greedy Multi-Agent,70,60,-788.7999999999995,78,7,44.07,1.0
Greedy Multi-Agent,71,75,1213.1,45,14,8.88,1.0
Greedy Multi-Agent,72,73,644.3999999999992,32,4,23.64,1.0
Greedy Multi-Agent,73,75,1008.9999999999997,53,11,12.67,1.0
Greedy Multi-Agent,74,68,-100.19999999999993,49,7,36.88,1.0
Greedy Multi-Agent,75,52,557.8999999999995,68,18,8.06,1.0
Greedy Multi-Agent,76,83,1743.9000000000028,16,5,4.88,1.0
Greedy Multi-Agent,77,74,564.9999999999999,48,7,24.23,1.0
Greedy Multi-Agent,78,75,920.2000000000002,47,9,14.54,1.0
Greedy Multi-Agent,79,61,-240.80000000000007,48,10,36.78,1.0
Greedy Multi-Agent,80,86,1844.4000000000026,13,6,4.84,1.0
Greedy Multi-Agent,81,68,682.3,46,9,18.08,1.0
Greedy Multi-Agent,82,45,341.7999999999997,87,17,6.68,1.0
Greedy Multi-Agent,83,64,1001.9999999999999,47,10,7.11,1.0
Greedy Multi-Agent,84,82,1350.0999999999988,30,12,12.1,1.0
Greedy Multi-Agent,85,66,851.4999999999991,63,9,10.96,1.0
Greedy Multi-Agent,86,61,269.50000000000006,46,7,20.9,1.0
Greedy Multi-Agent,87,74,36.00000000000005,35,7,38.71,1.0
Greedy Multi-Agent,88,71,219.99999999999955,30,6,33.79,1.0
Greedy Multi-Agent,89,75,1335.8000000000006,30,8,8.34,1.0
Greedy Multi-Agent,90,65,961.1999999999994,49,11,8.56,1.0
Greedy Multi-Agent,91,57,37.59999999999987,78,14,21.8,1.0
Greedy Multi-Agent,92,74,715.3999999999992,41,8,21.87,1.0
Greedy Multi-Agent,93,68,1123.4999999999995,43,13,6.98,1.0
Greedy Multi-Agent,94,83,1567.8999999999996,19,6,8.31,1.0
Greedy Multi-Agent,95,69,1111.399999999999,42,15,7.74,1.0
Greedy Multi-Agent,96,88,1401.1000000000004,26,9,14.78,1.0
Greedy Multi-Agent,97,65,63.800000000000324,63,7,29.69,1.0
Greedy Multi-Agent,98,68,1253.999999999999,34,9,5.38,1.0
Greedy Multi-Agent,99,60,9.500000000000057,59,11,27.51,1.0
Random Multi-Agent,0,32,-139.6,40,10,13.25,1.0
Random Multi-Agent,1,44,206.90000000000012,16,4,15.31,1.0
Random Multi-Agent,2,32,-844.4999999999999,58,9,26.04,1.0
Random Multi-Agent,3,22,-1160.8999999999999,46,11,31.01,0.7857142857142857
Random Multi-Agent,4,41,20.199999999999946,27,6,18.16,1.0
Random Multi-Agent,5,36,230.8000000000002,39,7,8.34,1.0
Random Multi-Agent,6,33,-735.5000000000001,55,8,23.84,0.8918918918918919
Random Multi-Agent,7,30,-903.8000000000002,47,7,28.82,1.0
Random Multi-Agent,8,42,-128.19999999999996,32,4,20.15,1.0
Random Multi-Agent,9,41,81.0,27,9,15.16,1.0
Random Multi-Agent,10,29,-201.20000000000005,57,9,12.58,1.0
Random Multi-Agent,11,33,-404.8000000000001,64,11,17.1,1.0
Random Multi-Agent,12,41,160.99999999999991,31,8,14.24,1.0
Random Multi-Agent,13,31,-515.4000000000003,56,10,18.73,1.0
Random Multi-Agent,14,33,-170.09999999999988,39,7,15.37,1.0
Random Multi-Agent,15,34,-397.3000000000001,63,10,16.9,1.0
Random Multi-Agent,16,37,45.899999999999956,25,13,14.34,1.0
Random Multi-Agent,17,38,-13.699999999999974,34,8,15.09,1.0
Random Multi-Agent,18,33,-474.9000000000001,44,15,20.15,1.0
Random Multi-Agent,19,35,-335.59999999999957,50,7,18.13,1.0
Random Multi-Agent,20,30,-594.3999999999999,40,9,23.56,1.0
Random Multi-Agent,21,40,-17.700000000000003,33,8,16.98,1.0
Random Multi-Agent,22,31,-572.8,31,11,23.71,1.0
Random Multi-Agent,23,26,-958.4999999999997,55,12,25.25,1.0
Random Multi-Agent,24,32,-524.9,53,15,21.51,1.0
Random Multi-Agent,25,30,-277.60000000000014,50,9,15.32,1.0
